Id,Relevance,Ref,Version,Lang,Content,Field,Score
19,--,Menachot 68a:33,Wikisource Talmud Bavli,he,כאן בזמן שבית המקדש קיים כאן בזמן שאין בית המקדש קיים,infreq,28.672108
20,--,Metzudat David on Isaiah 2:2:2,On Your Way,he,הר בית ה׳. ההר שיעמוד עליו בית המקדש:,infreq,30.683208
21,--,Aramaic Targum to Psalms 20:3,Mikraot Gedolot,he,ישדר סעדך מן בית מוקדשה ומציון יסיענך:,aggresive-ngram,82.72333
22,--,Sukkah 41a:9,William Davidson Edition - Aramaic,he,ושיהא יום הנף מאי טעמא מהרה יבנה בית המקדש ויאמרו אשתקד מי לא אכלנו בהאיר מזרח השתא נמי ניכול ואינהו לא ידעי דאשתקד דלא הוה בית המקדש האיר מזרח התיר השתא דאיכא בית המקדש עומר מתיר,hebmorph-standard,84.816345
23,--,"Chizkuni, Deuteronomy 3:25:2",Chizkuni,he,"והלבנן בית המקדש שנעשה מעצי הלבנון.
",hebmorph-standard,86.94688
24,--,Rashbam on Bava Batra 122a:9:7,Vilna Edition,he,לתרומת הקדש - לבד מקומו של בית המקדש:,hebmorph-standard,86.968796
25,--,Rashi on Exodus 25:8:1,On Your Way,he,"ועשו לי מקדש. ועשו לשמי בית קדשה:
",hebmorph-standard,86.99601
26,--,Kiddushin 69a:16,William Davidson Edition - Aramaic,he,בשלמא בית המקדש גבוה מכל ארץ ישראל היינו דכתיב,hebmorph-standard,86.402405
27,--,Rashi on Psalms 74:4:1,On Your Way,he,מועדך . הוא בית המקדש אשר נאמר בו ונועדתי לך שם :,hebmorph-exact,19.199228
28,--,Rashi on Sanhedrin 103b:26:2,Wikisource Rashi,he,מצע - בית המקדש:,hebmorph-standard,115.92916
29,--,Avodah Zarah 2b:55,Wikisource Talmud Bavli,he,אינהו סתרי בית המקדש ואנן בנינן,hebmorph-standard,108.06685
30,--,Rashi on Nehemiah 10:35:3,On Your Way,he,"לבית אבותינו . שהיא בית קדושת אבותינו :
",aggresive-ngram,82.72161
31,--,"Ba'er Hetev on Shulchan Arukh, Orach Chayyim 94:1",Torat Emet 357,he," הכפורת.  פי' במערבו של בית המקדש:  

",hebmorph-standard,86.9641
32,--,Rashi on Shabbat 30a:7:1,Vilna Edition,he,דבקו שערים - של בית קדשי הקדשים:,hebmorph-standard,86.94688
33,--,Rashi on Leviticus 14:16:1,On Your Way,he,"לפני ה'. כנגד בית קדשי הקדשים:
",hebmorph-standard,97.512344
34,--,Pesachim 120a:14,Wikisource Talmud Bavli,he,"אין לי אלא בזמן שבית המקדש קיים בזמן שאין בית המקדש קיים מנין ת""ל בערב תאכלו מצות הכתוב קבעו חובה:",hebmorph-standard,94.844055
35,--,Rashi on Yevamot 109b:8:3,Vilna Edition,he,מטתו - בית המקדש ששם לשכת הגזית:,hebmorph-standard,86.99601
36,--,Ralbag on II Kings 25:18:3,On Your Way,he,"ואת שלשת שומרי הסף . הם שומרי בית המקדש :
",hebmorph-exact,19.183527
37,--,Metzudat David on I Kings 6:17:1,On Your Way,he,"לפני. למזרחו של בית קודש הקדשים:
",aggresive-ngram,82.83003
38,--,Tamid 25b:1,Wikisource Talmud Bavli,he,מתני׳ בשלשה מקומות הכהנים שומרים בבית המקדש,ngram,34.255367
39,--,Rashi on Yoma 15b:6:8,Vilna Edition,he,לשכת בית המוקד - לשכה קטנה שקרויה בית המוקד ופתוחה לבית המוקד הגדול:,aggresive-ngram,77.97972
40,--,Rashi on Song of Songs 8:2:1,On Your Way,he,אל בית אמי . בית המקדש :,hebmorph-standard,101.43802
41,--,Metzudat David on Nehemiah 13:5:5,On Your Way,he,והכלים. כלי בית המקדש:,hebmorph-standard,115.92916
42,--,Rashi on Sanhedrin 89b:21:2,Wikisource Rashi,he,שחוטי חוץ - שהרי בית המקדש היה בירושלים:,hebmorph-standard,86.87646
43,--,Rashi on Daniel 11:31:2,On Your Way,he,"וחללו המקדש המעוז . מעון בית המקדש :
",hebmorph-standard,86.9641
44,--,Rashi on Pesachim 49a:5:2,Vilna Edition,he,אם עבר צופים - שם כפר שיכול לראות בית המקדש משם:,original,19.172827
45,--,Rashi on Jeremiah 20:18:1,On Your Way,he,"עמל ויגון . חורבן בית המקדש :

",hebmorph-standard,101.35587
46,--,Rashi on Yoma 9b:13:1,Vilna Edition,he,בירה תוכיח - בית המקדש:,hebmorph-standard,115.994675
47,--,Metzudat David on Jeremiah 31:23:3,On Your Way,he,הר הקדש. זהו בית המקדש:,hebmorph-standard,101.4636
48,--,Sotah 48b:10,William Davidson Edition - Aramaic,he,משחרב בית המקדש בטל השמיר כו׳ תנו רבנן שמיר שבו בנה שלמה את בית המקדש שנאמר והבית בהבנתו אבן שלמה מסע נבנה הדברים ככתבן דברי רבי יהודה,hebmorph-standard,76.39554
49,--,Ibn Ezra on Numbers 18:1:2,Ibn Ezra on Numbers -- Torat Emet,he,וטעם ובית אביך. כי הם נושאי המקדש:,aggresive-ngram,20.679003
50,--,Nazir 32b:2,William Davidson Edition - Aramaic,he,וכשבא הדבר אצל חכמים אמרו כל שנזר עד שלא חרב בית המקדש נזיר ומשחרב בית המקדש אינו נזיר,hebmorph-standard,85.5654
51,--,Malbim on Isaiah 64:10:1,On Your Way,he,"וגם בית קדשנו ותפארתנו,  הבית המקדש ",hebmorph-standard,106.50884
52,--,Rashi on Avodah Zarah 54b:1:1,WikiSource Rashi,he,ואלא מכלים - של בית המקדש שהזניחם אחז:,hebmorph-standard,86.87646
53,--,Ibn Ezra on Psalms 65:9:1,Ibn Ezra on Psalms -- Daat,he,וייראו יושבי קצוות - כנגד בית המקדש.,hebmorph-standard,86.94688
54,--,Bartenura on Mishnah Maaser Sheni 5:7:1,On Your Way,he,בזמן הזה. שאין בית המקדש קיים:,hebmorph-standard,86.94688
55,--,Rashi on Isaiah 35:2:2,On Your Way,he,הלבנון . בית המקדש :,hebmorph-standard,115.83528
56,--,Rashi on Psalms 66:13:1,On Your Way,he,"אבוא ביתך . בבנותך בית המקדש נשלם נדרינו שנדרנו בגולה :
",hebmorph-exact,19.167744
57,--,Rashi on Sanhedrin 103a:32:5,Wikisource Rashi,he,זה צדקיה - שהיה צדיק ונהרס בית המקדש בימיו:,hebmorph-exact,19.167744
58,--,Moed Katan 9a:6,William Davidson Edition - Aramaic,he,שיורי בנין בית המקדש לא משיירינן איבעי ליה לשיורי באמה כליא עורב,infreq,28.013487
59,--,Rashi on I Kings 12:16:1,On Your Way,he,"ראה ביתך . בית המקדש שבנית , לך לבדך יהיה :
",original,19.172827
60,--,Rashi on Genesis 28:17:3,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"וזה שער השמים מקום תפלה לעלות תפלתם השמימה ומדרשו, שבית המקדש של מעלה מכון כנגד בית המקדש של מטה:",ngram,32.631145
61,--,Metzudat Zion on Psalms 28:2:2,On Your Way,he,"דביר. הוא בית קדשי הקדשים:
",hebmorph-standard,101.4636
62,--,Rashi on Makkot 11a:57:1,Vilna Edition,he,"שכרה דוד שיתין - יסודות של בית המקדש ובגמרת ירושלמי (סנהדרין פ""י) מצינו תימוליוס של בית המקדש והוא יסוד בלשון יוני:",hebmorph-exact,18.962032
63,--,Metzudat David on I Kings 6:23:1,On Your Way,he,ויעש בדביר. בחלל בית קודש הקדשים:,aggresive-ngram,82.72161
64,--,Rashi on II Chronicles 20:9:1,On Your Way,he,ונזעק אליך מצרתינו . בבית המקדש :,ngram,35.663654
65,--,Metzudat David on Psalms 30:1:1,On Your Way,he,"חנוכת הבית. המזמור הזה תקן לאמרו בעת חנוכת בית המקדש:
",hebmorph-exact,19.167744
66,--,Metzudat David on I Chronicles 28:11:4,On Your Way,he,"ובית הכפורת. הוא בית קדש הקדשים:
",hebmorph-standard,86.99601
67,--,Rashi on Jeremiah 2:12:3,On Your Way,he,"חרבו מאד . כאילו אתם נחרבים על בית המקדש שעתיד ליחרב :
",hebmorph-exact,19.199228
68,--,Menachot 97a:13,Wikisource Talmud Bavli,he,בזמן שבית המקדש קיים מזבח מכפר על אדם ועכשיו שאין בית המקדש קיים שולחנו של אדם מכפר עליו:,ngram,32.61725
69,--,Metzudat David on I Kings 6:27:1,On Your Way,he,הבית הפנימי. זהו בית קודש הקדשים:,aggresive-ngram,82.72161
70,--,Sukkah 44a:1,William Davidson Edition - Aramaic,he,אמרי לדידהו נמי לא דחי ואלא קשיא הני תרתי דתנא חדא כל העם מוליכין את לולביהן להר הבית ותניא אידך לבית הכנסת ומתרצינן כאן בזמן שבית המקדש קיים כאן בזמן שאין בית המקדש קיים,infreq,28.237064
71,--,Rashi on Pesachim 26a:4:2,Vilna Edition,he,האומנין - כשיש בדק בחומת בית קדשי הקדשים:,hebmorph-standard,86.94688
72,--,Sanhedrin 41a:75,Wikisource Talmud Bavli,he,משחרב בית המקדש התקין רבן יוחנן בן זכאי,hebmorph-standard,81.2901
73,--,Eben Ezra on Lamentations 5:16:1,Ibn Ezra on Lamentations -- Wikitext,he,"נפלה – בית המקדש מקום השכינה:
",hebmorph-standard,101.458115
74,--,Ikar Siftei Hachamim on Deuteronomy 3:25:3,On Your Way,he,למה נקרא בית המקדש לבנון משום דמלבן האדם מן העבירות:,hebmorph-exact,19.167744
75,--,Rashi on Arakhin 11a:79:1,Wikisource Rashi,he,צהלו מים - יצהלו בשיר בית המקדש יותר מצהלת ים סוף:,original,19.172827
76,--,Ibn Ezra on Micah 5:7:1,Ibn Ezra on Micah -- Daat,he,והיה - ברצותם לבוא בבית המקדש.,ngram,35.632675
77,--,Bartenura on Mishnah Taanit 4:8:9,On Your Way,he,זה בנין בית המקדש. שנתחנך ביוה״כ:,hebmorph-standard,93.0405
78,--,Rashi on Isaiah 22:8:2,On Your Way,he,מסך יהודה . הוא בית המקדש שהי' מגין ומיסך ומסכך עליהם :,hebmorph-exact,19.199228
79,--,Rashi on Nedarim 40a:7:1,Vilna Edition,he,אם יאמרו לך נערים בנה - בית המקדש:,hebmorph-standard,86.99601
80,--,Rashi on Ezra 4:6:2,On Your Way,he,כתבו שטנה . שלא לבנות בית המקדש :,hebmorph-standard,86.94688
81,--,Rashi on Isaiah 37:24:2,On Your Way,he,ירכתי לבנון . בית המקדש :,hebmorph-standard,115.95214
82,--,Rashi on Deuteronomy 3:25:3,On Your Way,he,"והלבנון. זה בית המקדש:
",hebmorph-standard,131.96712
83,--,Mishnah Berakhot 4:6,Torat Emet 357,he,"היה יושב בספינה או בקרון או באסדה, יכון את לבו כנגד בית קדש הקדשים: 
",hebmorph-standard,78.40293
84,--,Nedarim 39b:10,William Davidson Edition - Aramaic,he,בית המקדש דכתיב כסא כבוד מרום מראשון,hebmorph-standard,86.94688
85,--,Rashi on Menachot 97b:60:1,Wikisource Rashi,he,היכל מאה אמה - עם בית קדשי הקדשים:,hebmorph-standard,86.94688
86,--,Rashi on Song of Songs 5:7:6,On Your Way,he,נשאו את רדידי . בית המקדש :,hebmorph-standard,101.4636
87,--,Rashi on Nehemiah 12:44:2,On Your Way,he,הנשכות . כמו הלשכות של בית המקדש :,hebmorph-standard,86.968796
88,--,Rashi on Habakkuk 2:17:1,On Your Way,he,חמס לבנון . בית מקדשא :,aggresive-ngram,110.27998
89,--,Taanit 4b:16,Wikisource Talmud Bavli,he,"כי קא""ר יוחנן בזמן שאין בית המקדש קיים השתא דאתית להכי הא והא לדידהו ולא קשיא כאן בזמן שבית המקדש קיים כאן בזמן שאין בית המקדש קיים",hebmorph-standard,88.65505
90,--,Rashi on Gittin 56b:1:3,Vilna Edition,he,לבנון זה בית המקדש - שמלבין עונותיהן של ישראל:,hebmorph-exact,19.199228
91,--,Sukkah 46a:3,Wikisource Talmud Bavli,he,בשלמא לולב אלולב לא קשיא כאן בזמן שבית המקדש קיים כאן בזמן שאין בית המקדש קיים אלא סוכה סוכה קשיא,hebmorph-standard,80.53982
92,--,Rosh Hashanah 19b:2,William Davidson Edition - Aramaic,he,תנאי היא דתניא הימים האלו הכתובין במגילת תענית בין בזמן שבית המקדש קיים בין בזמן שאין בית המקדש קיים אסורין דברי רבי מאיר רבי יוסי אומר בזמן שבית המקדש קיים אסורין מפני ששמחה היא להם אין בית המקדש קיים מותרין מפני שאבל הוא להם,ngram,33.774456
93,--,Rashi on Deuteronomy 17:8:6,On Your Way,he,"וקמת ועלית. מלמד שבית המקדש גבוה מכל המקומות:
",ngram,32.643208
94,m,Bartenura on Mishnah Tamid 3:3:3,On Your Way,he,"לשכת בית המוקד. על שם המדורה שדולקת בה תמיד. קרויה בית המוקד:

",aggresive-ngram,83.58272
95,--,Rashi on Psalms 84:10:1,On Your Way,he,מגננו . הוא בית המקדש המגין עלינו :,hebmorph-standard,86.87646
96,--,Ralbag on II Kings 12:10:2,On Your Way,he,"שומרי הסף . הם שומרי כלי בית המקדש :
",hebmorph-standard,86.99601
97,--,Moed Katan 19a:8,William Davidson Edition - Aramaic,he,רבי אליעזר אומר משחרב בית המקדש עצרת כשבת,hebmorph-standard,86.434105
98,--,Rashi on Leviticus 26:11:1,On Your Way,he,ונתתי משכני. זה בית המקדש:,hebmorph-standard,126.07089
99,--,"Shulchan Arukh, Orach Chayim 1:3",Torat Emet 363,he,"ראוי לכל ירא שמים שיהא מיצר ודואג על חרבן בית המקדש. 
",hebmorph-standard,76.18241
100,--,Rashi on Deuteronomy 26:9:1,On Your Way,he,אל המקום הזה. זה בית המקדש:,hebmorph-standard,86.968796
101,--,Rashi on II Kings 19:23:2,On Your Way,he,"ירכתי לבנון . בית המקדש , שמלבין עונות : ",hebmorph-standard,86.94688
102,--,Magen Avraham 94:1,Magen Avraham,he,"אחורי הכפורת. פי' במערבו של בית המקדש: 
",hebmorph-standard,86.968796
103,--,Moed Katan 28b:22,Wikisource Talmud Bavli,he,"א""ל הכי א""ר יוחנן שלא חרב בית המקדש בימיו",hebmorph-standard,86.385284
104,--,Rashi on I Kings 6:21:1,On Your Way,he,את הבית . בית קדשי הקדשים :,hebmorph-standard,101.458115
